Disease,Male AUROC,Female AUROC,Gap
Atelectasis,0.6929841051764658,0.7246844727998798,-3.2%
Cardiomegaly,0.6994448203187682,0.657787673344585,+4.2%
Effusion,0.7342377067957491,0.7652372414059035,-3.1%
Infiltration,0.6428721099495409,0.641096966825545,+0.2%
Mass,0.6357415347191983,0.6498982377107845,-1.4%
Nodule,0.5886504949172913,0.5859487458108571,+0.3%
Pneumonia,0.6344577188795854,0.6515055242767976,-1.7%
Pneumothorax,0.7151515723983324,0.6849726838459316,+3.0%
Consolidation,0.7304292406702521,0.7662598576473386,-3.6%
Edema,0.7902731512325116,0.839101048637605,-4.9%
Emphysema,0.710046813530015,0.7313964856423523,-2.1%
Fibrosis,0.7187837986977155,0.6890131829129168,+3.0%
Pleural_Thickening,0.6360531561967373,0.6580569998270267,-2.2%
Hernia,0.6974087433153997,0.8073052104401426,-11.0%
Mean,0.6876096404855402,0.7037331665091191,-1.6%
